"Date","Price","Open","High","Low","Vol.","Change %"
"06/27/2024","103.17","101.96","104.04","101.64","4.34M","1.70%"
"06/26/2024","101.45","101.62","101.80","100.57","2.36M","-0.59%"
"06/25/2024","102.05","102.88","103.18","101.29","5.16M","-0.91%"
"06/24/2024","102.99","102.18","103.50","101.68","2.95M","0.59%"
"06/21/2024","102.39","101.93","102.44","100.94","7.87M","0.72%"
"06/20/2024","101.66","100.26","102.34","100.19","3.48M","0.88%"
"06/18/2024","100.77","100.07","101.46","100.06","3.45M","0.24%"
"06/17/2024","100.53","99.98","101.44","99.92","3.49M","-0.37%"
"06/14/2024","100.90","100.50","101.42","99.31","2.69M","-0.63%"
"06/13/2024","101.54","102.02","102.80","100.74","5.03M","0.33%"
"06/12/2024","101.21","102.62","103.68","100.76","3.70M","-0.11%"
"06/11/2024","101.32","100.10","101.47","99.22","2.83M","0.66%"
"06/10/2024","100.66","100.43","101.84","100.28","3.51M","-0.20%"
"06/07/2024","100.86","99.51","101.96","98.40","5.64M","2.69%"
"06/06/2024","98.22","98.80","99.55","98.16","2.51M","-0.85%"
"06/05/2024","99.06","98.82","99.65","97.87","3.12M","0.46%"
"06/04/2024","98.61","99.00","99.40","97.68","4.99M","-1.15%"
"06/03/2024","99.76","100.37","100.79","98.97","4.51M","-0.38%"
"05/31/2024","100.14","98.06","100.25","97.42","21.75M","1.98%"
"05/30/2024","98.20","97.69","98.23","96.89","4.52M","0.66%"
"05/29/2024","97.56","97.80","97.90","96.76","4.83M","-1.13%"
"05/28/2024","98.68","99.56","100.11","97.82","4.36M","-0.99%"
"05/24/2024","99.67","99.81","100.52","99.34","2.60M","0.16%"
"05/23/2024","99.51","100.42","100.52","98.91","3.85M","-1.95%"
"05/22/2024","101.49","102.64","103.11","100.95","3.81M","-1.60%"
"05/21/2024","103.14","104.89","105.04","102.65","4.60M","-1.97%"
"05/20/2024","105.21","105.22","106.04","104.63","3.96M","-0.05%"
"05/17/2024","105.26","105.21","105.72","104.68","5.40M","0.38%"
"05/16/2024","104.86","101.72","105.22","101.59","8.38M","3.58%"
"05/15/2024","101.24","100.19","101.67","100.15","4.20M","1.16%"
"05/14/2024","100.08","99.93","101.20","99.80","2.97M","0.45%"
"05/13/2024","99.63","99.00","101.74","99.00","5.58M","0.71%"
"05/10/2024","98.93","98.55","99.66","98.17","4.16M","1.64%"
"05/09/2024","97.33","96.09","97.38","95.90","2.58M","1.02%"
"05/08/2024","96.35","95.39","96.44","95.01","3.49M","0.85%"
"05/07/2024","95.54","96.59","97.18","95.52","4.41M","-1.09%"
"05/06/2024","96.59","97.09","97.75","96.54","4.33M","-0.58%"
"05/03/2024","97.15","97.58","98.19","96.84","4.82M","0.35%"
"05/02/2024","96.81","97.96","98.40","96.65","6.32M","-1.66%"
"05/01/2024","98.44","98.10","99.70","97.28","11.06M","2.00%"
"04/30/2024","96.51","95.73","97.84","93.78","16.73M","4.72%"
"04/29/2024","92.16","91.56","92.62","91.56","4.96M","0.36%"
"04/26/2024","91.83","91.50","92.19","91.08","4.52M","0.46%"
"04/25/2024","91.41","91.59","92.00","90.65","2.95M","-0.66%"
"04/24/2024","92.02","92.59","93.23","91.42","3.81M","-1.05%"
"04/23/2024","93.00","92.98","94.04","92.79","3.73M","0.41%"
"04/22/2024","92.62","92.54","92.71","91.70","2.99M","0.38%"
"04/19/2024","92.27","91.24","92.40","91.10","3.59M","0.86%"
"04/18/2024","91.48","91.40","92.43","90.87","3.07M","0.57%"
"04/17/2024","90.96","91.73","92.11","90.33","3.42M","-0.10%"
"04/16/2024","91.05","90.94","91.33","90.17","3.04M","-0.27%"
"04/15/2024","91.30","91.98","92.78","90.75","3.68M","-0.01%"
"04/12/2024","91.31","92.76","92.81","91.14","3.59M","-2.01%"
"04/11/2024","93.18","92.84","93.56","92.48","2.99M","0.59%"
"04/10/2024","92.63","91.78","92.71","90.57","3.49M","0.02%"
"04/09/2024","92.61","92.10","93.20","92.00","4.24M","0.74%"
"04/08/2024","91.93","91.20","92.89","91.20","3.71M","0.99%"
"04/05/2024","91.03","90.43","91.42","89.54","3.51M","0.54%"
"04/04/2024","90.54","94.49","95.67","90.23","5.86M","-2.84%"
"04/03/2024","93.19","93.34","94.70","92.50","6.06M","0.38%"
"04/02/2024","92.84","93.10","94.42","91.90","8.91M","-1.26%"
"04/01/2024","94.02","91.05","94.34","88.23","13.00M","6.02%"
"03/28/2024","88.68","87.46","88.84","87.45","4.39M","1.42%"
"03/27/2024","87.45","86.12","87.59","86.11","3.88M","1.91%"
"03/26/2024","85.81","87.00","87.51","85.61","6.09M","-2.11%"
"03/25/2024","87.65","88.54","89.30","87.60","5.59M","-1.82%"
"03/22/2024","89.28","89.96","90.40","89.25","4.45M","-1.01%"
"03/21/2024","90.19","90.46","91.29","90.12","6.59M","-0.22%"
"03/20/2024","90.39","87.78","91.22","87.32","7.02M","2.65%"
"03/19/2024","88.06","88.45","89.46","87.41","5.84M","0.50%"
"03/18/2024","87.62","87.39","88.87","87.30","5.54M","-0.19%"
"03/15/2024","87.79","86.12","88.24","85.93","26.84M","1.82%"
"03/14/2024","86.22","86.42","87.40","85.48","6.93M","-0.91%"
"03/13/2024","87.01","83.37","87.03","82.94","10.82M","5.42%"
"03/12/2024","82.54","83.77","84.32","81.23","13.99M","4.97%"
"03/11/2024","78.63","78.57","78.97","78.14","3.52M","0.16%"
"03/08/2024","78.51","78.16","79.21","77.91","4.12M","1.38%"
"03/07/2024","77.44","77.80","78.01","77.01","3.14M","0.11%"
"03/06/2024","77.35","78.16","78.33","76.86","3.00M","-0.18%"
"03/05/2024","77.50","76.64","78.08","76.56","4.39M","1.37%"
"03/04/2024","76.45","76.17","76.79","75.65","5.58M","-0.46%"
"03/01/2024","76.80","76.95","76.95","75.99","3.40M","-0.28%"
"02/29/2024","77.02","76.92","77.16","76.38","5.16M","0.72%"
"02/28/2024","76.47","76.92","77.45","76.43","2.96M","-0.91%"
"02/27/2024","77.17","76.92","77.21","76.48","2.29M","0.52%"
"02/26/2024","76.77","77.07","77.34","76.45","3.27M","-0.82%"
"02/23/2024","77.40","77.24","77.70","76.84","3.16M","0.38%"
"02/22/2024","77.11","76.55","77.27","76.20","4.19M","0.57%"
"02/21/2024","76.68","76.61","76.89","76.07","3.40M","-0.12%"
