"Date","Price","Open","High","Low","Vol.","Change %"
"06/03/2024","174.42","173.88","175.86","172.45","20.74M","0.26%"
"05/31/2024","173.96","173.40","174.42","170.97","28.09M","0.23%"
"05/30/2024","173.56","176.69","176.69","173.23","18.84M","-2.16%"
"05/29/2024","177.40","176.81","178.23","176.26","15.02M","-0.35%"
"05/28/2024","178.02","175.74","178.51","175.68","15.66M","0.96%"
"05/24/2024","176.33","176.52","177.30","175.20","11.40M","0.73%"
"05/23/2024","175.06","178.78","179.91","174.54","14.93M","-1.65%"
"05/22/2024","178.00","178.40","178.85","176.78","16.19M","-0.86%"
"05/21/2024","179.54","178.40","179.82","177.31","14.71M","0.61%"
"05/20/2024","178.46","177.31","179.95","177.23","17.50M","0.66%"
"05/17/2024","177.29","175.55","177.49","174.98","16.55M","1.06%"
"05/16/2024","175.43","174.60","176.34","174.05","17.25M","0.89%"
"05/15/2024","173.88","172.30","174.05","172.03","20.96M","1.13%"
"05/14/2024","171.93","171.59","172.78","170.42","18.73M","0.60%"
"05/13/2024","170.90","165.85","170.95","165.76","19.65M","0.36%"
"05/10/2024","170.29","169.69","171.34","167.91","18.74M","-0.75%"
"05/09/2024","171.58","171.15","172.44","169.93","11.94M","0.25%"
"05/08/2024","171.16","170.75","171.91","170.52","14.57M","-1.05%"
"05/07/2024","172.98","170.12","173.47","170.00","21.10M","1.85%"
"05/06/2024","169.83","169.22","169.90","167.89","15.15M","0.50%"
"05/03/2024","168.99","169.54","169.85","164.98","22.77M","0.31%"
"05/02/2024","168.46","166.67","168.53","165.69","17.04M","1.75%"
"05/01/2024","165.57","166.18","168.81","164.90","25.22M","0.56%"
"04/30/2024","164.64","167.38","169.87","164.50","29.42M","-1.94%"
"04/29/2024","167.90","170.77","171.38","167.06","35.91M","-3.33%"
"04/26/2024","173.69","175.99","176.42","171.40","56.50M","9.97%"
"04/25/2024","157.95","153.36","158.28","152.77","36.20M","-1.96%"
"04/24/2024","161.10","159.09","161.39","158.82","19.49M","0.74%"
"04/23/2024","159.92","158.59","160.48","157.96","16.12M","1.25%"
"04/22/2024","157.95","156.01","159.18","155.66","17.24M","1.43%"
"04/19/2024","155.72","157.75","157.99","153.91","21.48M","-1.11%"
"04/18/2024","157.46","156.93","158.49","156.21","14.02M","0.37%"
"04/17/2024","156.88","157.19","158.68","156.13","16.24M","0.56%"
"04/16/2024","156.00","155.64","157.23","155.05","15.41M","-0.21%"
"04/15/2024","156.33","160.28","160.83","156.15","21.14M","-1.80%"
"04/12/2024","159.19","159.40","161.70","158.60","16.99M","-1.00%"
"04/11/2024","160.79","158.34","161.12","157.93","17.84M","1.99%"
"04/10/2024","157.66","157.88","158.16","156.20","16.34M","-0.30%"
"04/09/2024","158.14","157.35","159.89","156.64","21.54M","1.28%"
"04/08/2024","156.14","154.01","156.65","153.99","16.64M","1.43%"
"04/05/2024","153.94","151.68","154.84","151.08","16.30M","1.32%"
"04/04/2024","151.94","155.08","156.18","151.88","24.18M","-2.83%"
"04/03/2024","156.37","154.92","156.55","154.13","17.27M","0.32%"
"04/02/2024","155.87","154.75","155.99","153.46","17.60M","-0.40%"
"04/01/2024","156.50","151.83","157.00","151.65","24.47M","2.78%"
"03/28/2024","152.26","152.00","152.67","151.33","21.11M","0.21%"
"03/27/2024","151.94","152.15","152.69","150.13","16.62M","0.16%"
"03/26/2024","151.70","151.24","153.20","151.03","19.31M","0.36%"
"03/25/2024","151.15","150.95","151.46","148.80","15.11M","-0.41%"
"03/22/2024","151.77","150.24","152.56","150.09","19.25M","2.04%"
"03/21/2024","148.74","150.32","151.30","148.01","19.84M","-0.63%"
"03/20/2024","149.68","148.79","149.76","147.66","17.73M","1.19%"
"03/19/2024","147.92","148.98","149.62","147.01","17.75M","-0.38%"
"03/18/2024","148.48","149.37","152.93","148.14","47.68M","4.44%"
"03/15/2024","142.17","143.41","144.34","141.13","41.04M","-1.50%"
"03/14/2024","144.34","142.30","144.73","141.49","36.12M","2.54%"
"03/13/2024","140.77","140.06","142.19","140.01","19.64M","0.82%"
"03/12/2024","139.62","138.25","140.28","138.21","19.02M","0.49%"
"03/11/2024","138.94","137.07","139.98","137.07","22.54M","1.94%"
"03/08/2024","136.29","135.04","138.99","134.80","26.50M","0.78%"
"03/07/2024","135.24","133.89","135.82","132.66","24.11M","2.02%"
"03/06/2024","132.56","134.24","134.74","131.95","23.18M","-0.91%"
"03/05/2024","133.78","132.74","134.02","131.55","28.45M","-0.31%"
"03/04/2024","134.20","136.54","136.63","132.86","43.57M","-2.81%"
"03/01/2024","138.08","139.61","140.00","137.98","28.55M","-1.22%"
"02/29/2024","139.78","138.35","139.95","137.57","35.49M","1.71%"
"02/28/2024","137.43","139.10","139.28","136.64","30.63M","-1.91%"
"02/27/2024","140.10","139.41","140.49","138.50","22.36M","0.97%"
"02/26/2024","138.75","143.45","143.84","138.74","33.51M","-4.50%"
"02/23/2024","145.29","144.97","145.96","144.79","14.52M","-0.02%"
"02/22/2024","145.32","146.12","146.20","144.01","23.02M","1.03%"
"02/21/2024","143.84","142.64","143.98","141.91","16.50M","1.15%"
