"Date","Price","Open","High","Low","Vol.","Change %"
"09/20/2024","336.22","332.32","336.35","331.87","5.23M","0.29%"
"09/19/2024","335.24","340.00","340.38","332.23","2.65M","-0.28%"
"09/18/2024","336.18","335.00","339.00","332.96","2.15M","-0.26%"
"09/17/2024","337.04","355.10","355.28","336.31","4.53M","-4.82%"
"09/16/2024","354.12","350.84","354.98","349.63","2.54M","1.30%"
"09/13/2024","349.58","351.10","351.43","348.79","1.81M","-0.09%"
"09/12/2024","349.89","350.48","352.42","345.20","2.18M","-0.12%"
"09/11/2024","350.31","346.36","350.72","342.24","2.12M","0.75%"
"09/10/2024","347.70","343.81","348.00","342.22","1.66M","1.72%"
"09/09/2024","341.81","340.63","342.25","339.09","1.57M","0.58%"
"09/06/2024","339.84","340.70","342.44","336.76","1.61M","-0.32%"
"09/05/2024","340.93","344.22","344.45","339.50","1.20M","-0.89%"
"09/04/2024","343.99","340.00","344.91","338.98","1.48M","0.62%"
"09/03/2024","341.88","341.36","345.54","339.67","2.05M","-0.02%"
"08/30/2024","341.95","341.00","343.45","338.64","2.00M","0.51%"
"08/29/2024","340.21","340.25","343.87","338.97","1.61M","0.84%"
"08/28/2024","337.39","340.56","343.60","335.11","1.53M","-0.88%"
"08/27/2024","340.38","335.18","340.99","335.00","2.15M","1.07%"
"08/26/2024","336.78","333.08","337.21","331.77","1.69M","1.05%"
"08/23/2024","333.27","331.66","333.76","329.67","1.52M","0.82%"
"08/22/2024","330.57","333.89","334.07","329.65","1.68M","-0.91%"
"08/21/2024","333.60","330.84","333.66","330.54","1.23M","0.98%"
"08/20/2024","330.37","329.93","330.57","328.05","1.79M","0.28%"
"08/19/2024","329.44","327.56","330.43","327.00","1.68M","0.77%"
"08/16/2024","326.92","324.91","327.70","323.27","2.29M","0.55%"
"08/15/2024","325.13","322.28","325.21","321.94","2.27M","1.66%"
"08/14/2024","319.83","320.00","322.07","318.02","1.40M","0.16%"
"08/13/2024","319.33","316.11","320.18","315.13","2.27M","1.71%"
"08/12/2024","313.96","315.47","317.47","312.74","2.28M","-0.59%"
"08/09/2024","315.83","316.20","317.32","313.22","1.85M","-0.02%"
"08/08/2024","315.88","315.30","319.51","314.47","2.21M","-0.67%"
"08/07/2024","318.02","319.95","325.74","317.93","2.33M","-0.21%"
"08/06/2024","318.68","317.00","322.66","315.72","2.28M","1.57%"
"08/05/2024","313.74","311.61","317.87","310.23","3.19M","-2.91%"
"08/02/2024","323.15","324.99","326.68","320.35","2.68M","-1.50%"
"08/01/2024","328.08","333.88","338.92","326.42","2.54M","-0.77%"
"07/31/2024","330.62","331.64","333.93","329.04","2.61M","0.43%"
"07/30/2024","329.20","327.49","330.45","326.95","1.99M","0.92%"
"07/29/2024","326.20","328.66","328.98","323.87","1.63M","-0.69%"
"07/26/2024","328.46","325.92","329.81","325.21","2.44M","-0.50%"
"07/25/2024","330.12","325.59","335.69","323.34","2.76M","0.44%"
"07/24/2024","328.68","329.38","332.54","328.14","3.29M","-0.50%"
"07/23/2024","330.33","331.43","332.20","327.97","1.99M","-0.36%"
"07/22/2024","331.51","330.72","332.82","329.72","3.42M","0.70%"
"07/19/2024","329.19","331.09","335.79","327.71","5.38M","0.33%"
"07/18/2024","328.10","329.41","336.25","327.84","4.56M","0.77%"
"07/17/2024","325.60","325.95","328.57","323.62","4.38M","0.18%"
"07/16/2024","325.00","318.38","325.15","318.03","3.64M","2.24%"
"07/15/2024","317.87","312.67","319.37","312.67","3.87M","2.33%"
"07/12/2024","310.63","299.59","312.02","299.03","3.95M","4.24%"
"07/11/2024","297.99","295.44","302.18","293.98","2.99M","0.86%"
"07/10/2024","295.44","296.90","298.00","290.53","2.28M","-0.88%"
"07/09/2024","298.06","299.09","299.15","294.48","2.48M","-0.47%"
"07/08/2024","299.47","300.46","301.95","295.60","2.56M","0.11%"
"07/05/2024","299.14","304.91","305.70","297.68","3.16M","-2.16%"
"07/03/2024","305.75","304.75","306.89","303.98","1.75M","0.63%"
"07/02/2024","303.83","300.93","304.00","300.93","2.18M","0.42%"
"07/01/2024","302.55","303.73","304.36","299.60","2.41M","-0.28%"
"06/28/2024","303.41","303.54","305.55","301.65","14.91M","0.07%"
"06/27/2024","303.19","305.00","305.46","301.46","3.16M","-0.47%"
